iter	Passed	Remaining
0	133	133432
1	134	66964
2	134	44829
3	135	33715
4	136	27066
5	136	22614
6	136	19431
7	137	17043
8	137	15186
9	138	13699
10	138	12483
11	139	11469
12	139	10611
13	140	9876
14	140	9238
15	141	8680
16	141	8188
17	142	7750
18	142	7359
19	142	7006
20	143	6686
21	143	6396
22	144	6132
23	144	5890
24	145	5667
25	145	5462
26	146	5271
27	146	5095
28	147	4930
29	147	4777
30	148	4633
31	148	4498
32	149	4371
33	149	4251
34	150	4139
35	150	4033
36	151	3933
37	151	3838
38	152	3747
39	152	3661
40	153	3580
41	153	3502
42	154	3428
43	154	3356
44	154	3289
45	155	3224
46	155	3162
47	156	3103
48	156	3046
49	157	2992
50	157	2939
51	158	2889
52	158	2840
53	159	2793
54	159	2748
55	160	2704
56	160	2663
57	161	2622
58	161	2583
59	162	2544
60	162	2507
61	163	2471
62	163	2436
63	164	2403
64	164	2370
65	165	2339
66	165	2308
67	166	2278
68	166	2249
69	167	2221
70	167	2196
71	168	2172
72	169	2147
73	169	2121
74	170	2097
75	170	2073
76	171	2049
77	171	2027
78	171	2005
79	172	1983
80	172	1962
81	173	1942
82	173	1919
83	174	1899
84	174	1880
85	175	1861
86	175	1843
87	176	1825
88	176	1808
89	177	1791
90	177	1774
91	178	1757
92	178	1741
93	179	1726
94	179	1710
95	180	1695
96	180	1680
97	181	1666
98	181	1652
99	182	1638
100	182	1625
101	183	1611
102	183	1598
103	184	1585
104	184	1572
105	185	1560
106	185	1548
107	186	1539
108	186	1528
109	187	1516
110	187	1505
111	188	1494
112	188	1483
113	189	1472
114	189	1461
115	190	1450
116	190	1439
117	191	1429
118	191	1419
119	192	1409
120	192	1399
121	193	1389
122	193	1379
123	194	1370
124	194	1361
125	194	1352
126	195	1342
127	195	1333
128	196	1325
129	196	1316
130	197	1308
131	197	1299
132	198	1291
133	198	1283
134	199	1275
135	199	1267
136	200	1259
137	200	1252
138	200	1244
139	201	1237
140	201	1230
141	202	1221
142	202	1214
143	203	1207
144	203	1200
145	204	1194
146	204	1187
147	205	1180
148	205	1173
149	206	1167
150	206	1160
151	206	1154
152	207	1148
153	207	1142
154	208	1135
155	208	1129
156	209	1123
157	209	1117
158	210	1111
159	210	1106
160	210	1099
161	211	1093
162	211	1088
163	212	1082
164	212	1076
165	213	1071
166	213	1066
167	214	1061
168	214	1056
169	215	1051
170	215	1046
171	216	1041
172	216	1035
173	217	1031
174	217	1026
175	218	1021
176	218	1016
177	219	1011
178	219	1006
179	219	1002
180	220	997
181	220	992
182	221	988
183	221	983
184	222	979
185	222	974
186	223	970
187	223	965
188	224	961
189	224	957
190	225	953
191	225	949
192	226	945
193	226	940
194	226	936
195	227	932
196	227	929
197	228	925
198	228	921
199	229	917
200	229	913
201	230	909
202	230	905
203	231	902
204	231	898
205	232	894
206	232	890
207	233	887
208	233	883
209	233	880
210	234	876
211	234	873
212	235	869
213	235	866
214	236	862
215	236	859
216	237	856
217	237	852
218	238	849
219	238	845
220	239	842
221	239	839
222	239	836
223	240	833
224	241	830
225	241	827
226	242	824
227	242	821
228	243	818
229	243	815
230	244	812
231	244	809
232	245	806
233	245	803
234	245	800
235	246	798
236	247	795
237	247	792
238	247	789
239	248	786
240	249	784
241	249	781
242	250	778
243	250	776
244	251	773
245	251	771
246	252	768
247	252	765
248	253	763
249	253	760
250	254	758
251	254	755
252	255	753
253	255	750
254	256	748
255	256	746
256	257	744
257	257	741
258	258	739
259	258	736
260	259	734
261	259	732
262	260	729
263	260	727
264	261	724
265	261	722
266	262	719
267	262	717
268	263	715
269	263	712
270	264	710
271	264	708
272	265	705
273	265	703
274	266	701
275	266	699
276	266	696
277	267	694
278	267	692
279	268	690
280	268	688
281	269	686
282	269	683
283	270	681
284	270	679
285	271	677
286	271	675
287	272	673
288	272	671
289	273	669
290	273	667
291	274	665
292	274	663
293	275	661
294	275	659
295	276	657
296	276	655
297	277	653
298	277	651
299	278	649
300	278	647
301	279	645
302	279	643
303	280	641
304	280	639
305	281	637
306	281	635
307	282	634
308	282	632
309	283	630
310	283	628
311	284	626
312	284	624
313	284	622
314	285	620
315	285	618
316	286	617
317	286	615
318	287	613
319	287	611
320	288	609
321	288	608
322	289	606
323	289	604
324	290	602
325	290	600
326	291	599
327	291	597
328	292	595
329	292	593
330	292	592
331	293	590
332	293	588
333	294	587
334	294	585
335	295	583
336	296	582
337	296	580
338	296	579
339	297	577
340	297	575
341	298	574
342	298	572
343	299	571
344	299	569
345	300	567
346	300	566
347	301	564
348	301	562
349	302	561
350	302	559
351	303	558
352	303	556
353	304	554
354	304	553
355	305	551
356	305	550
357	306	548
358	306	547
359	307	545
360	307	544
361	307	542
362	308	541
363	309	540
364	309	538
365	310	537
366	310	535
367	311	534
368	311	532
369	312	531
370	312	529
371	312	528
372	313	526
373	313	525
374	314	524
375	314	522
376	315	521
377	315	519
378	316	518
379	316	516
380	317	515
381	317	513
382	318	512
383	318	511
384	319	509
385	319	508
386	319	506
387	320	505
388	320	504
389	321	502
390	321	501
391	322	500
392	322	498
393	323	497
394	323	495
395	324	494
396	324	493
397	325	491
398	325	490
399	326	489
400	326	487
401	327	486
402	327	485
403	328	483
404	328	482
405	328	481
406	329	479
407	329	478
408	330	477
409	330	475
410	331	474
411	331	473
412	332	472
413	332	470
414	333	469
415	333	468
416	334	467
417	334	465
418	335	464
419	335	463
420	336	462
421	336	460
422	337	459
423	337	458
424	337	457
425	338	456
426	338	454
427	339	453
428	339	452
429	340	451
430	340	449
431	341	448
432	341	447
433	342	446
434	342	445
435	343	443
436	343	442
437	344	441
438	344	440
439	344	439
440	345	437
441	345	436
442	346	435
443	346	434
444	347	433
445	347	432
446	348	430
447	348	429
448	349	428
449	349	427
450	350	426
451	350	425
452	351	424
453	351	422
454	352	421
455	352	420
456	353	419
457	353	418
458	354	417
459	354	416
460	354	415
461	355	413
462	355	412
463	356	411
464	356	410
465	357	409
466	357	408
467	358	407
468	358	406
469	359	405
470	359	403
471	360	402
472	360	401
473	361	400
474	361	399
475	361	398
476	362	397
477	362	396
478	363	395
479	363	394
480	364	393
481	364	392
482	365	390
483	365	389
484	366	388
485	366	387
486	367	386
487	367	385
488	368	384
489	368	383
490	368	382
491	369	381
492	369	380
493	370	379
494	370	378
495	371	377
496	371	376
497	372	375
498	372	374
499	373	373
500	373	372
501	374	371
502	374	370
503	375	369
504	375	368
505	375	367
506	376	365
507	376	364
508	377	363
509	377	362
510	378	362
511	378	361
512	379	360
513	379	359
514	380	358
515	380	357
516	381	356
517	381	355
518	382	354
519	382	353
520	383	352
521	383	351
522	384	350
523	384	349
524	385	348
525	385	347
526	386	346
527	386	345
528	387	344
529	387	343
530	387	342
531	388	341
532	388	340
533	389	339
534	389	338
535	390	337
536	390	336
537	391	335
538	391	334
539	392	334
540	392	333
541	393	332
542	393	331
543	394	330
544	394	329
545	394	328
546	395	327
547	395	326
548	396	325
549	396	324
550	397	323
551	397	322
552	398	321
553	398	321
554	399	320
555	399	319
556	400	318
557	400	317
558	401	316
559	401	315
560	402	314
561	402	313
