iter	Passed	Remaining
0	137	137313
1	138	68870
2	138	46043
3	139	34631
4	139	27778
5	140	23204
6	140	19944
7	141	17495
8	141	15604
9	142	14086
10	142	12843
11	143	11802
12	143	10924
13	144	10168
14	144	9511
15	145	8938
16	145	8431
17	146	7986
18	146	7586
19	147	7225
20	147	6897
21	148	6598
22	149	6330
23	149	6096
24	150	5887
25	151	5683
26	152	5502
27	153	5322
28	153	5151
29	154	4990
30	154	4840
31	155	4699
32	155	4569
33	156	4445
34	157	4329
35	157	4220
36	158	4116
37	158	4017
38	159	3922
39	159	3832
40	160	3746
41	160	3664
42	161	3586
43	161	3511
44	162	3442
45	162	3375
46	163	3311
47	163	3249
48	164	3190
49	164	3134
50	165	3079
51	166	3027
52	166	2975
53	167	2926
54	167	2882
55	168	2838
56	168	2793
57	169	2750
58	169	2709
59	170	2669
60	170	2630
61	171	2593
62	171	2556
63	172	2523
64	173	2490
65	173	2458
66	174	2426
67	174	2395
68	175	2365
69	175	2336
70	176	2307
71	176	2280
72	177	2252
73	178	2230
74	178	2205
75	179	2181
76	179	2157
77	180	2133
78	180	2109
79	181	2088
80	182	2067
81	182	2046
82	183	2024
83	183	2004
84	184	1984
85	184	1964
86	185	1945
87	185	1926
88	186	1908
89	186	1889
90	187	1872
91	187	1854
92	188	1838
93	189	1823
94	189	1809
95	190	1794
96	191	1779
97	191	1765
98	192	1751
99	192	1736
100	193	1721
101	194	1709
102	194	1696
103	195	1682
104	195	1669
105	196	1655
106	196	1642
107	197	1630
108	197	1617
109	198	1605
110	198	1593
111	200	1586
112	200	1576
113	201	1564
114	201	1553
115	202	1542
116	202	1530
117	203	1520
118	203	1509
119	205	1503
120	205	1493
121	206	1483
122	206	1473
123	207	1464
124	207	1454
125	208	1445
126	208	1435
127	209	1426
128	209	1417
129	210	1408
130	211	1400
131	211	1391
132	212	1383
133	212	1374
134	213	1366
135	213	1358
136	214	1349
137	214	1341
138	215	1333
139	215	1326
140	216	1318
141	216	1310
142	217	1302
143	217	1295
144	218	1287
145	218	1280
146	219	1273
147	220	1266
148	220	1259
149	221	1253
150	221	1246
151	222	1240
152	222	1234
153	223	1227
154	224	1221
155	224	1214
156	225	1208
157	225	1202
158	226	1195
159	226	1190
160	227	1185
161	228	1180
162	228	1174
163	229	1169
164	229	1163
165	230	1157
166	230	1151
167	231	1146
168	231	1140
169	232	1135
170	233	1130
171	233	1124
172	234	1119
173	234	1113
174	235	1108
175	235	1103
176	236	1098
177	236	1093
178	237	1088
179	237	1083
180	238	1079
181	239	1074
182	239	1069
183	240	1064
184	240	1059
185	241	1054
186	241	1050
187	242	1045
188	242	1041
189	243	1036
190	243	1032
191	244	1028
192	244	1023
193	245	1019
194	245	1015
195	246	1010
196	246	1006
197	247	1002
198	247	997
199	248	993
200	248	989
201	249	985
202	250	981
203	250	977
204	251	973
205	251	969
206	252	965
207	252	961
208	253	957
209	253	953
210	254	950
211	254	946
212	255	942
213	255	939
214	256	935
215	256	931
